address,Category
0x379ce20c018fb6301c1872c429ec7270ffa4dc5b,Phishing
0x93d8d5bb1f1e4822f3c614d9a09e7c5e3fabc13a,Phishing
0xa6e71bdc40952eb1c083e5ae4940d70886296724,Phishing
0x3a878eddb991ebcbc7c8052055b2e5ed5d0d1ba4,Phishing
0x9eea7fda3c78cd8c096ae229de8217a94cd1bcfe,Phishing
0xdfa8e0d144b1bd7b9f08cd05a7726cc20121292f,Phishing
0x8d4426f94e42f721c7116e81d6688cd935cb3b4f,Phishing
0x5e1f89284b8283edcd082901b78c7589f39d5b51,Phishing
0x0f4cf489c65f5001843c525e1f374768dcad9b99,Phishing
0xe949a4c861089fbde6ef1175c23e1485d5970567,Phishing
0xb48c99c37b7cf4ac0a1c2dca518782c1feb4f066,Phishing
0xb0608ca76d2ec6984f652829e887811516e4b846,Phishing
0x29c3adf6f50e2186c21f5ebb1ac073115831286e,Phishing
0xe7cc576611c2df800862db667140a90cf9ec4b72,Phishing
0xdbbc7e7098f69ff271c7d12b75b53c099d3c883d,Phishing
0x3614e0bba4679c95daa45201821cd212f9164205,Phishing
0xa5e83199a7ecb6669064d492f15ddc096b6cbab8,Phishing
0xd5e846494df899e0d7ea5e628501dfe420d2643b,Phishing
0xeb32e949d214773ff718dfc92b4803bd14db15c1,Phishing
0xa62cb4bd9e69e9170a2d973aa3aece5a1215d41c,Phishing
0x7197e9d17b8a5d219e0facea59301eb7eef5ef87,Phishing
0xf6238cbc1b74b183e54d63a555f867baa00d92df,Phishing
0x311e8fbacc2ec05793e14319ef0006f7a7516cba,Phishing
0x882c3163237009dca0aa3d479f73eb55639339e4,Phishing
0x34743ffa1f93e745668725e44efeb3c50a237796,Phishing
0xe6eb070bcef81fd12a198ba03fe393e9ee4cb671,Phishing
0xf77149cac62f1b3df7d8d0cd951f152f28c72bb1,Phishing
0x89c0e39f3b3be95c238912788687dbaebe7e6a2b,Phishing
0x6e65c01099acfda3fdcee97249caf30241baf679,Phishing
0x98d67bc5ba8e43721972204e5e1e4eaef43cadb1,Phishing
